标题,年份,类型,媒体类型,个人评分,观影日期,简介,封面,背景图,演员
老狐狸,2025,,movie,8.5,2024/1/1,故事发生在1989年全民皆股的年代，小男孩廖界与父亲廖泰来相依为命，他们相信人性本善，没发现世界正在改变。股市飙涨、物价翻倍，有人一夕暴富，有人意识到现实残酷；单纯老实的廖界父子属于后者。不料，他们碰上了聪明狡猾的“老狐狸”，命运道路可能截然不同。财富与良心两条岔路，该怎么选？,https://image.tmdb.org/t/p/w500/aJSfcq4AUpmKVaqlfkDIbq2J2kC.jpg,,白润音;刘冠廷;傅孟柏
小小的我,2025,,movie,8.5,2024/1/1,患有脑瘫的刘春和（易烊千玺 饰）勇敢冲破身心的枷锁，为外婆（林晓杰 饰）圆梦舞台的同时，也努力寻求着自己人生的坐标。在经历一个盛夏的蜕变后，他终于踏上了新的旅程。,https://image.tmdb.org/t/p/w500/kvRhquopoC2idxgkRYnbVN4q2B3.jpg,,易烊千玺;蒋勤勤
爱的噩梦,2025,,movie,8,2024/1/1,男子爱上了一个控制狂，热恋期他都甘心付出，直到另一个女生出现，他才知道原来爱情可以这么自由。男子在梦中许了一个“换女朋友”的愿望，而愿望居然成真了！这是幸福的开始？还是恐怖的到来？,https://image.tmdb.org/t/p/w500/qPgTlGfZA1SANyNPfgiFlYGL7mR.jpg,,林柏宏;项婕如;谢欣颖
我们一起摇太阳,2025,,movie,9,2024/1/1,当“没头脑”吕途（彭昱畅 饰）遇上“不高兴”凌敏（李庚希 饰），两个身患重症却性格迥异的年轻人，因为“生命接力”的约定，阴差阳错地踏上了一段充满爱与力量的治愈之旅。影片是韩延导演“生命三部曲”终章，部分取材于纪实报道文章《最功利的婚姻交易，最动情的永恒约定》。,https://image.tmdb.org/t/p/w500/ia08FRXcH5GwjpohOFVCQdsvEB1.jpg,,彭昱畅;李庚希
时光代理人,2024,,tv,9,2024/1/1,程小时（蒋龙 饰）自小因父母失踪，受到邻居乔苓（卜冠今 饰）一家的照顾，在经营照相馆时结识陆光（毕雯珺 饰），程小时和性格迥异的陆光拥有合作进入照片的特殊能力，作为记者的乔苓获知两人能力后，也加入“时光代理人”委托小队，三人共同踏上帮助他人弥补遗憾、寻找真相，完成自我成长的奇幻旅途。,https://image.tmdb.org/t/p/w500/yqXjp5Pih46V0sMT1ttMfIwFXAY.jpg,,蒋龙;毕雯珺;卜冠今
致命游戏,2025,,tv,9.5,2024/1/1,VR游戏设计师凌久时工作不顺决定辞职，一款测试版游戏让他寄情忘忧，他意外收到一块国外寄来的游戏光盘。一场车祸后，他来到了一个有着12扇铁门的走廊。来到门内，一名神秘人助他在林海雪山中逃离狼爪，欢迎他来到门的世界。门中凶险万分，稍有不慎就会丢掉性命。随之，凌久时发现一件诡异的事情，在门内遇险回到门外世界也会遭遇不测……,https://image.tmdb.org/t/p/w500/gTMs89YC6HZjqWtgAKOLfaOCfGJ.jpg,,夏之光;黄俊捷
新生,2025,,tv,9,2024/1/1,一场关于费可（井柏然 饰）的追思会，女记者何珊（周依然 饰）与五位陌生人一同受邀。他们都跟费可有着不为人知的过往，但他们发现所认识的费可并不是同一个人。费可到底是谁？众人展开回溯，逐步揭开了关于费可的真相……,https://image.tmdb.org/t/p/w500/fDuC8THHGITyZcKpw3D4GmJYglf.jpg,,井柏然;周依然
影后,2025,,tv,9,2024/1/1,八卦杂志总喜欢用竞争视角去形容同期出道的薛亚之（谢盈萱 饰）和周凡（杨谨华 饰），但这一点都无伤这对好姊妹的友谊，因为一直以来她们都是彼此的依靠，直到薛亚之决定要嫁给李子齐（薛仕凌 饰）这天。而这场变调的婚礼，像一把利刃，狠狠地划开了这对挚友的情感，也划开了两位女演员此后的命运，过往的一对好友如今变成后不见后的“宿敌”，正是嗜血的媒体最爱的情节。但，没人去关心，那把划开姐妹情谊的利刃，至今还插在她们的身体里，折磨着彼此。,https://image.tmdb.org/t/p/w500/6cAOhoHUwKGLD32fwRPBlmMqEYy.jpg,,谢盈萱;杨谨华;薛仕凌
照明商店,2023,,movie,8,2023/12/8,深巷的尽头，一间“照明商店”长年亮着灯，神秘的老板（刘奕君 饰）细心擦拭着每一个灯泡，形形色色的客人络绎不绝。护士许念（章若楠 饰）和男友郑满（白宇帆 饰）新搬进了商店附近的公寓。她渐渐发现，这里的每一个人，心底都有一个不可言说的秘密。暴风雨之夜，她走进了巷尾的照明商店，答案渐渐被揭开……,https://img.ffzy888.com/upload/vod/20240213-1/bef6bd8796def85c275189ffa51fdcbd.jpg,,章若楠;白宇帆;刘奕君
青少年哪吒,2025,,movie,9,2023/7/20,拿着退来的补习费用逃离压抑的补习班后，小康开始漫无目的的在西门町晃荡，偶遇有着另一种身份过着另一种日子的“不良少年”阿泽，被其吸引，渴望融入其生活。但阿泽只是表面看来光鲜，打电动、开一辆重型机车在街上呼啸只因可以暂时让自己看起来像个胜利者，内心却一样是封闭孤独的。  在跟踪阿泽的过程中，小康渐发觉自己的性向可能与大多数人有别，也发现阿泽生活的单调与苦闷。但好过小康的是，阿泽虽也几乎不知何为亲情，却有“好兄弟”阿彬常陪左右，有阿桂暂当女友，来过“当天和尚撞天钟”的生活。,https://image.tmdb.org/t/p/w500/nIBzkxmJukSbyNREyzgRThcgrBX.jpg,,李康生;陈昭荣
有生之年,2023,,tv,9.5,2023/7/5,落魄的高嘉岳突然回家了，离家多年却豪不客气地闯进高家的日常。嘉岳发现不单只有自己，每个人的人生都好难好难，各自遭遇各种难题，爸妈感情失和、二弟在家中一直没有归属感、三弟对未来很茫然，但他们还是跌跌撞撞地在人生道路上前进着。嘉岳看着家人都这么尽力地活着，他认为是时候去完成原本轻生的打算了…,https://image.tmdb.org/t/p/w500/3nl2i5cCGv1r1spnkwm07jyREFy.jpg,,吴慷仁
怪物,2025,,movie,8.5,2023/6/2,【タイトル】非公開【監　　督】是枝裕和(『そして父になる』、『海街diary』、『三度目の殺人』、『万引き家族』他)【出　　演】豪華キャスト出演【制作会社】AOI Pro.【撮影期間】2022...,https://img.wmdb.tv/movie/poster/1680441076420-51815a.jpg,,安藤樱
周处除三害,2025,,movie,8.5,2023/3/3,通缉犯陈桂林（阮经天 饰）生命将尽，却发现自己在通缉榜上只排名第三，他决心查出前两名通缉犯的下落，并将他们一一除掉。陈桂林以为自己已成为当代的周处除三害，却没想到永远参不透的贪嗔痴，才是人生终要面对的罪与罚。  影片引用的“周处除三害”典故，见于《晋书·周处传》和《世说新语》。据记载，少年周处身形魁梧，武力高强，却横行乡里，为邻人所厌。后周处只身斩杀猛虎孽蛟，他自己也浪子回头、改邪归正，至此三害皆除。,https://image.tmdb.org/t/p/w500/eNvuf4PHepy0nlXfludjGCJGG59.jpg,,阮经天;王净;李李仁
重启人生,2025,,tv,9.5,2023/1/1,近藤麻美（安藤樱 饰）是个任职于地方市役所、生活非常平凡的33岁单身女性。某天一睁开眼，麻美发现自己居然带着记忆穿越到过去，人生更是从呱呱坠地的零岁重来一遍！意会过来的她，想起死后世界的引路人，以及自己希望再投胎为人类而选择一边积德、一边重新过上同样的人生。亲情、友情、恋情… 第二轮平凡的人生，开始！,https://image.tmdb.org/t/p/w500/uaZXNusiStCwGMyUun97bysK774.jpg,,安藤樱;夏帆
